Feature,Importance,Relationship,Sl.No,Feature,Importance,Relationship,Descriptions,Sl.No,Feature,Data Visualization,
B2_IN_CDI_1,0.00667826,Direct,1,B2_IN_CDI_1,0.00667826,Direct,,1,B2_IN_CDI,,
L2_CLEAN_GAS_ANALYSIS_CO_1,0.006334859,Direct,2,L2_CLEAN_GAS_ANALYSIS_CO_1,0.006334859,Direct,,2,L2_CLEAN_GAS_ANALYSIS_CO,,
L2_CLEAN_GAS_ANALYSIS_CO2_1,0.006292075,Direct,3,L2_CLEAN_GAS_ANALYSIS_CO2_1,0.006292075,Direct,,3,L2_CLEAN_GAS_ANALYSIS_CO2,,
BLAST_SPEED_2,0.00609092,Direct,4,BLAST_SPEED_2,0.00609092,Direct,,4,BLAST_SPEED,,
S_COKE_KG,0.0060771,Direct,5,S_COKE_KG,0.0060771,Direct,,5,S_COKE_KG,,
S_COKE_KG_1,0.00595672,Direct,6,S_COKE_KG_1,0.00595672,Direct,,6,O2_ENRICHMENT_FLOW_RATE,,
O2_ENRICHMENT_FLOW_RATE,0.005923857,Direct,7,O2_ENRICHMENT_FLOW_RATE,0.005923857,Direct,,7,B2_IN_CDI,,
B2_IN_CDI,0.005886616,Direct,8,B2_IN_CDI,0.005886616,Direct,,8,L2_CLEAN_GAS_ANALYSIS_H2,,
L2_CLEAN_GAS_ANALYSIS_H2_2,0.005810366,Direct,9,L2_CLEAN_GAS_ANALYSIS_H2_2,0.005810366,Direct,,9,O2_ENRICHMENT_FLOW_RATE,,
O2_ENRICHMENT_FLOW_RATE_2,0.005783901,Direct,10,O2_ENRICHMENT_FLOW_RATE_2,0.005783901,Direct,,10,L2_AVG_STAVE_TEMP_S3,,
L2_AVG_STAVE_TEMP_S3_1,0.005745752,Direct,11,L2_AVG_STAVE_TEMP_S3_1,0.005745752,Direct,,11,HMT_PRED,,
HMT_PRED,0.005731389,Direct,12,HMT_PRED,0.005731389,Direct,,12,L2_AVG_HEARTH_INNER_TEMP,,
L2_AVG_HEARTH_INNER_TEMP_P,0.005690143,Direct,13,L2_AVG_HEARTH_INNER_TEMP_P,0.005690143,Direct,,13,B4_IN_CDI,,
B4_IN_CDI,0.005682682,Direct,14,B4_IN_CDI,0.005682682,Direct,,14,L2_AVG_HEARTH_INNER_TEMP,,
L2_CLEAN_GAS_ANALYSIS_CO,0.005597195,Direct,15,L2_CLEAN_GAS_ANALYSIS_CO,0.005597195,Direct,,15,S_COKE_RATE_KGTHM,,
L2_AVG_HEARTH_INNER_TEMP_L,0.005577582,Direct,16,L2_AVG_HEARTH_INNER_TEMP_L,0.005577582,Direct,,16,L2_CLEAN_GAS_ANALYSIS_H2,,
L2_CLEAN_GAS_ANALYSIS_CO_2,0.005490153,Direct,17,L2_CLEAN_GAS_ANALYSIS_CO_2,0.005490153,Direct,,17,L2_AVG_HEARTH_INNER_TEMP_E,,
L2_CLEAN_GAS_ANALYSIS_CO2,0.005322693,Direct,18,L2_CLEAN_GAS_ANALYSIS_CO2,0.005322693,Direct,,18,L2_AVG_HEARTH_INNER_TEMP_L,,
L2_AVG_HEARTH_INNER_TEMP_D,0.005311928,Direct,19,L2_AVG_HEARTH_INNER_TEMP_D,0.005311928,Direct,,19,PELLET_KGTHM,,
S_COKE_RATE_KGTHM,0.005305417,Direct,20,S_COKE_RATE_KGTHM,0.005305417,Direct,,20,L2_AVG_HEARTH_INNER_TEMP_C,,
L2_CLEAN_GAS_ANALYSIS_H2_1,0.005273924,Direct,21,L2_CLEAN_GAS_ANALYSIS_H2_1,0.005273924,Direct,,,,,
L2_AVG_HEARTH_INNER_TEMP_E,0.005196317,Direct,22,L2_AVG_HEARTH_INNER_TEMP_E,0.005196317,Direct,,,,,
BLAST_SPEED,0.005100222,Direct,23,BLAST_SPEED,0.005100222,Direct,,,,,
L2_AVG_HEARTH_INNER_TEMP_L_2,0.005082928,Direct,24,L2_AVG_HEARTH_INNER_TEMP_L_2,0.005082928,Direct,,,,,
L2_AVG_HEARTH_INNER_TEMP_E_1,0.005075594,Direct,25,L2_AVG_HEARTH_INNER_TEMP_E_1,0.005075594,Direct,,,,,
PELLET_KGTHM,0.005011708,Direct,26,PELLET_KGTHM,0.005011708,Direct,,,,,
L2_AVG_HEARTH_INNER_TEMP_C_1,0.005010922,Direct,27,L2_AVG_HEARTH_INNER_TEMP_C_1,0.005010922,Direct,,,,,
IN_SL_S_PER,0.005003728,Direct,28,IN_SL_S_PER,0.005003728,Direct,,,,,
L2_AVG_DIFF_PRESSURE_TUYERE_1,0.004966779,Direct,29,L2_AVG_DIFF_PRESSURE_TUYERE_1,0.004966779,Direct,,,,,
